=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.06.19 13:28:36 =~=~=~=~=~=~=~=~=~=~=~=
Tiempo,Estado,Potencia,Termocupla
8340,0,100,970
8350,0,100,971
8360,0,100,971
8370,0,100,971
8380,0,100,971
8390,0,100,971
8400,0,100,972
8410,0,100,972
8420,0,100,972
8430,0,100,972
8440,0,100,973
8450,0,100,973
8460,0,100,973
8470,0,100,974
8480,0,100,974
8490,0,100,974
8500,0,100,975
8510,0,100,975
8520,0,100,975
8530,0,100,976
8540,0,100,976
8550,0,100,976
8560,0,100,977
8570,0,100,977
8580,0,100,977
8590,0,100,978
8600,0,100,978
8610,0,100,978
8620,0,100,978
8630,0,100,979
8640,0,100,979
8650,0,100,979
8660,0,100,979
8670,0,100,979
8680,0,100,980
8690,0,100,980
8700,0,100,980
8710,0,100,981
8720,0,100,981
8730,0,100,981
8740,0,100,981
8750,0,100,982
8760,0,100,982
8770,0,100,982
8780,0,100,982
8790,0,100,983
8800,0,100,983
8810,0,100,983
8820,0,100,983
8830,0,100,984
8840,0,100,984
8850,0,100,984
8860,0,100,985
8870,0,100,985
8880,0,100,985
8890,0,100,986
8900,0,100,986
8910,0,100,986
8920,0,100,987
8930,0,100,987
8940,0,100,988
8950,0,100,988
8960,0,100,988
8970,0,100,988
8980,0,100,989
8990,0,100,989
9000,0,100,989
9010,0,100,989
9020,0,100,989
9030,0,100,989
9040,0,100,990
9050,0,100,990
9060,0,100,991
9070,0,100,991
9080,0,100,991
9090,0,100,991
9100,0,100,991
9110,0,100,991
9120,0,100,991
9130,0,100,991
9140,0,100,991
9150,0,100,991
9160,0,100,991
9170,0,100,991
9180,0,100,991
9190,0,100,991
9200,0,100,991
9210,0,100,992
9220,0,100,992
9230,0,100,992
9240,0,100,992
9250,0,100,992
9260,0,100,993
9270,0,100,993
9280,0,100,993
9290,0,100,993
9300,0,100,994
9310,0,100,994
9320,0,100,994
9330,0,100,994
9340,0,100,994
9350,0,100,994
9360,0,100,995
9370,0,100,995
9380,0,100,995
9390,0,100,996
9400,0,100,996
9410,0,100,996
9420,0,100,996
9430,0,100,997
9440,0,100,997
9450,0,100,997
9460,0,100,997
9470,0,100,998
9480,0,100,998
9490,0,100,998
9500,0,100,999
9510,0,100,999
9520,0,100,999
9530,1,95,1000
9540,1,95,1000
9550,1,95,999
9560,1,95,999
9570,1,95,999
9580,1,95,999
9590,1,95,999
9600,1,95,999
9610,1,95,999
9620,1,95,999
9630,1,95,999
9640,1,95,999
9650,1,95,999
9660,1,95,999
9670,1,95,999
9680,1,95,999
9690,1,95,1000
9700,1,95,1000
9710,1,95,1000
9720,1,95,1000
9730,1,95,1000
9740,1,95,1000
9750,1,95,1000
9760,1,95,1000
9770,1,95,1001
9780,1,95,1001
9790,1,95,1001
9800,1,95,1001
9810,1,95,1001
9820,1,95,1002
9830,1,95,1002
9840,1,95,1002
9850,1,95,1002
9860,1,95,1002
9870,1,95,1002
9880,1,95,1002
9890,1,95,1003
9900,1,95,1003
9910,1,95,1003
9920,1,95,1003
9930,1,95,1003
9940,1,95,1003
9950,1,95,1003
9960,1,95,1003
9970,1,95,1003
9980,1,95,1003
9990,1,95,1004
10000,1,95,1004
10010,1,95,1004
10020,1,95,1004
10030,1,95,1004
10040,1,95,1004
10050,1,95,1004
10060,1,95,1005
10070,1,95,1004
10080,1,95,1005
10090,1,95,1005
10100,1,95,1005
10110,1,95,1005
10120,1,95,1005
10130,1,90,1005
10140,1,90,1005
10150,1,90,1004
10160,1,90,1004
10170,1,90,1004
10180,1,90,1003
10190,1,90,1003
10200,1,90,1003
10210,1,90,1003
10220,1,90,1003
10230,1,90,1003
10240,1,90,1003
10250,1,90,1003
10260,1,90,1003
10270,1,90,1002
10280,1,90,1003
10290,1,90,1003
10300,1,90,1003
10310,1,90,1003
